iter	Passed	Remaining
0	0	57
1	1	49
2	1	45
3	1	41
4	2	41
5	2	40
6	3	39
7	3	39
8	3	39
9	4	38
10	4	37
11	5	37
12	5	36
13	5	36
14	6	35
15	6	35
16	7	34
17	7	34
18	7	33
19	8	33
20	8	32
21	9	33
22	9	33
23	10	32
24	10	32
25	11	31
26	11	31
27	11	30
28	12	30
29	12	29
30	13	29
31	13	28
32	14	28
33	14	28
34	14	27
35	15	27
36	15	26
37	16	26
38	16	25
39	16	25
40	17	24
41	17	24
42	17	23
43	18	23
44	18	22
45	19	22
46	19	21
47	19	21
48	20	21
49	20	20
50	21	20
51	21	19
52	21	19
53	22	19
54	22	18
55	22	18
56	23	17
57	23	17
58	24	16
59	24	16
60	24	15
61	25	15
62	25	15
63	26	14
64	26	14
65	27	13
66	27	13
67	27	13
68	28	12
69	28	12
70	29	11
71	29	11
72	29	11
73	30	10
74	31	10
75	31	9
76	31	9
77	32	9
78	32	8
79	33	8
80	33	7
81	33	7
82	34	7
83	34	6
84	35	6
85	35	5
86	35	5
87	36	4
88	36	4
89	37	4
90	37	3
91	38	3
92	38	2
93	38	2
94	39	2
95	39	1
96	40	1
97	40	0
98	41	0
99	41	0
